Query Rank Precision Recall
1 1 0.0 0.0
1 2 0.0 0.0
1 3 0.0 0.0
1 4 0.0 0.0
1 5 0.0 0.0
1 6 0.0 0.0
1 7 0.0 0.0
1 8 0.0 0.0
1 9 0.0 0.0
1 10 0.0 0.0
1 11 0.0 0.0
1 12 0.0 0.0
1 13 0.0 0.0
1 14 0.0 0.0
1 15 0.0 0.0
1 16 0.0 0.0
1 17 0.0 0.0
1 18 0.0 0.0
1 19 0.0 0.0
1 20 0.0 0.0
1 21 0.0 0.0
1 22 0.0 0.0
1 23 0.0 0.0
1 24 0.0416666666667 0.2
1 25 0.04 0.2
1 26 0.0384615384615 0.2
1 27 0.037037037037 0.2
1 28 0.0357142857143 0.2
1 29 0.0344827586207 0.2
1 30 0.0333333333333 0.2
1 31 0.0322580645161 0.2
1 32 0.03125 0.2
1 33 0.030303030303 0.2
1 34 0.0294117647059 0.2
1 35 0.0285714285714 0.2
1 36 0.0277777777778 0.2
1 37 0.027027027027 0.2
1 38 0.0263157894737 0.2
1 39 0.025641025641 0.2
1 40 0.025 0.2
1 41 0.0243902439024 0.2
1 42 0.0238095238095 0.2
1 43 0.0232558139535 0.2
1 44 0.0227272727273 0.2
1 45 0.0222222222222 0.2
1 46 0.0217391304348 0.2
1 47 0.0212765957447 0.2
1 48 0.0208333333333 0.2
1 49 0.0204081632653 0.2
1 50 0.02 0.2
1 51 0.0196078431373 0.2
1 52 0.0192307692308 0.2
1 53 0.0377358490566 0.4
1 54 0.037037037037 0.4
1 55 0.0363636363636 0.4
1 56 0.0357142857143 0.4
1 57 0.0350877192982 0.4
1 58 0.0344827586207 0.4
1 59 0.0338983050847 0.4
1 60 0.0333333333333 0.4
1 61 0.0327868852459 0.4
1 62 0.0322580645161 0.4
1 63 0.031746031746 0.4
1 64 0.03125 0.4
1 65 0.0307692307692 0.4
1 66 0.030303030303 0.4
1 67 0.0298507462687 0.4
1 68 0.0294117647059 0.4
1 69 0.0289855072464 0.4
1 70 0.0285714285714 0.4
1 71 0.0281690140845 0.4
1 72 0.0277777777778 0.4
1 73 0.027397260274 0.4
1 74 0.027027027027 0.4
1 75 0.0266666666667 0.4
1 76 0.0263157894737 0.4
1 77 0.025974025974 0.4
1 78 0.025641025641 0.4
1 79 0.0253164556962 0.4
1 80 0.025 0.4
1 81 0.0246913580247 0.4
1 82 0.0243902439024 0.4
1 83 0.0240963855422 0.4
1 84 0.0238095238095 0.4
1 85 0.0235294117647 0.4
1 86 0.0232558139535 0.4
1 87 0.0229885057471 0.4
1 88 0.0227272727273 0.4
1 89 0.0224719101124 0.4
1 90 0.0222222222222 0.4
1 91 0.021978021978 0.4
1 92 0.0217391304348 0.4
1 93 0.0215053763441 0.4
1 94 0.0212765957447 0.4
1 95 0.0210526315789 0.4
1 96 0.0208333333333 0.4
1 97 0.020618556701 0.4
1 98 0.0204081632653 0.4
1 99 0.020202020202 0.4
1 100 0.02 0.4
2 1 0.0 0.0
2 2 0.0 0.0
2 3 0.0 0.0
2 4 0.0 0.0
2 5 0.0 0.0
2 6 0.0 0.0
2 7 0.0 0.0
2 8 0.0 0.0
2 9 0.0 0.0
2 10 0.1 0.333333333333
2 11 0.0909090909091 0.333333333333
2 12 0.0833333333333 0.333333333333
2 13 0.0769230769231 0.333333333333
2 14 0.0714285714286 0.333333333333
2 15 0.0666666666667 0.333333333333
2 16 0.0625 0.333333333333
2 17 0.0588235294118 0.333333333333
2 18 0.0555555555556 0.333333333333
2 19 0.0526315789474 0.333333333333
2 20 0.05 0.333333333333
2 21 0.047619047619 0.333333333333
2 22 0.0454545454545 0.333333333333
2 23 0.0434782608696 0.333333333333
2 24 0.0416666666667 0.333333333333
